SortOrd,W_ID,Subpop,Startpop,Jfdisp,Afdisp,Jmdisp,Amdisp,Area_km,Mean_Kdens,SD_Kdens,CI_lo_Kdens,CI_hi_Kdens,prop_K,current_dens,Notes
1,1,GBYA,0,0.0535,0.0163,0.1506,0.0563,338,16.893,9.773,4.095,38.407,0.029,8.999,WR created
2,2,GBYB,0,0.133,0.0906,0.2614,0.1749,235,16.893,9.773,4.095,38.407,0.029,8.999,WR created
3,3,GBYC,0,0.133,0.0906,0.2614,0.1749,301,16.893,9.773,4.095,38.407,0.029,8.999,WR created
4,4,N01,24,0.0056,1.00E-04,0.0401,0.002,276,0.65,0.291,0.201,1.211,0.958,0.622,Original
5,5,N02,100,0.051,0.0148,0.1463,0.0528,439,3.085,1.601,1.422,5.382,0.844,2.604,Original
6,6,N03,125,0.0233,0.0027,0.092,0.0178,356,2.839,0.947,1.307,4.565,0.855,2.429,Original
7,7,N04,0,0.1155,0.0709,0.2398,0.1482,208,5.781,5.719,1.386,15.582,0.481,2.78,Original
8,8,N05,48,0.0915,0.0464,0.208,0.1118,615,1.758,1.351,0.907,2.864,0.479,0.842,Original
9,9,N06,0,0.0056,1.00E-04,0.0401,0.002,221,2.246,2.292,0.082,8.722,0.331,0.744,Original
10,10,N07,0,0.0531,0.016,0.1498,0.0557,154,1.254,2.703,0.24,3.924,0.294,0.368,Original
11,11,N08,0,0.061,0.0213,0.1629,0.0669,152,1.2,8.891,0.036,27.78,0.014,0.092,Original
12,12,N09,0,0.048,0.0131,0.1411,0.0487,482,4.2,1.58,2.06,7.66,,,Original
13,13,N10,0,0.04,0.0089,0.1266,0.038,206,8.17,9.682,0.068,30.476,0.029,0.237,Original
14,14,N11,0,0.0192,0.0017,0.0822,0.0135,304,4.2,1.58,2.06,7.66,,,WR created
15,15,N12,0,0.0307,0.005,0.1083,0.0264,181,4.2,1.58,2.06,7.66,,,WR created
16,16,N13,0,0.1326,0.0901,0.2609,0.1743,182,4.2,1.58,2.06,7.66,,,WR created
17,17,N14,0,0.0807,0.0366,0.1927,0.0956,79,4.2,1.58,2.06,7.66,,,WR created
18,18,N15,0,0.0605,0.0209,0.162,0.0661,241,4.2,1.58,2.06,7.66,,,WR created
19,19,N16,0,0.0914,0.0463,0.2078,0.1115,62,4.2,1.58,2.06,7.66,,,WR created
20,20,N17,0,0.011,5.00E-04,0.0594,0.0058,388,4.2,1.58,2.06,7.66,,,WR created
21,21,N18,0,0.0935,0.0482,0.2107,0.1147,100,4.2,1.58,2.06,7.66,,,WR created
22,22,N19,0,0.014,8.00E-04,0.0684,0.0084,202,4.2,1.58,2.06,7.66,,,WR created
23,23,N20,0,0.0362,0.0072,0.1194,0.0332,588,4.2,1.58,2.06,7.66,,,WR created
24,24,N21,0,0.2651,0.2697,0.402,0.3704,66,4.2,1.58,2.06,7.66,,,WR created
25,25,N22,0,0.0355,0.0069,0.1179,0.0323,35,4.2,1.58,2.06,7.66,,,WR created
26,26,N23,0,0.0213,0.0022,0.0873,0.0156,111,4.2,1.58,2.06,7.66,,,WR created
27,27,N24,0,0.3175,0.3461,0.451,0.4421,118,4.2,1.58,2.06,7.66,,,WR created
28,28,N25,0,0.1161,0.0714,0.2404,0.149,175,4.2,1.58,2.06,7.66,,,WR created
29,29,N26,0,0.0761,0.0328,0.1861,0.0888,51,4.2,1.58,2.06,7.66,,,WR created
30,30,N27,0,0.0084,2.00E-04,0.0507,0.0038,386,4.2,1.58,2.06,7.66,,,WR created
31,31,S01,0,0.1209,0.0768,0.2465,0.1564,302,3.559,1.209,1.613,5.963,0.97,3.453,Original
32,32,S02,51,0.0688,0.027,0.1751,0.0781,976,4.092,1.577,1.87,6.763,0.895,3.663,Original
33,33,S03,0,0.0955,0.0502,0.2134,0.1177,771,4.1,8.873,0.62,28.962,0.171,1.443,Original
34,34,S04,0,0.1048,0.0595,0.2259,0.1319,187,7.967,8.746,0.28,27.539,0.106,0.844,Original
35,35,S05,55,0.0394,0.0086,0.1255,0.0373,338,1.608,0.596,0.736,2.753,0.918,1.477,Original
36,36,S06,0,0.0688,0.027,0.1751,0.0781,700,7.667,9.027,0.09,28.645,0.021,0.163,Original
37,37,S07,0,0.0912,0.0461,0.2076,0.1114,279,16.647,9.829,3.989,38.64,0.628,10.459,Original
38,38,S08,0,0.0426,0.0102,0.1315,0.0415,472,9.89,9.606,0.521,31.688,0.088,0.874,Original
39,39,S09,0,0.091,0.0459,0.2073,0.111,309,11.975,8.593,2.117,30.787,0.59,7.061,Original
40,40,S10,0,0.0754,0.0322,0.1851,0.0878,147,11.543,8.457,2.707,31.83,0.67,7.736,Original
41,41,S11,0,0.1175,0.073,0.2423,0.1513,526,4.2,1.58,2.06,7.66,,,Original
42,42,S12,0,0.056,0.0179,0.1547,0.0598,32,4.2,1.58,2.06,7.66,,,Original
43,43,S13,0,0.0663,0.0251,0.1712,0.0745,73,4.2,1.58,2.06,7.66,,,WR created
44,44,S14,0,0.0056,1.00E-04,0.0401,0.002,958,4.2,1.58,2.06,7.66,,,WR created
45,45,S15,0,0.0492,0.0137,0.1432,0.0503,239,4.2,1.58,2.06,7.66,,,WR created
46,46,S16,0,0.0091,3.00E-04,0.0531,0.0043,342,4.2,1.58,2.06,7.66,,,WR created
47,47,S17,0,0.0056,1.00E-04,0.0401,0.002,416,4.2,1.58,2.06,7.66,,,WR created
48,48,S18,0,0.0056,1.00E-04,0.0401,0.002,614,4.2,1.58,2.06,7.66,,,WR created
49,49,S19,0,0.0199,0.0019,0.0839,0.0142,314,4.2,1.58,2.06,7.66,,,WR created
50,50,S20,0,0.0363,0.0072,0.1195,0.0333,359,4.2,1.58,2.06,7.66,,,WR created
51,51,S21,0,0.0124,6.00E-04,0.0639,0.007,459,4.2,1.58,2.06,7.66,,,WR created
52,52,S22,0,0.0781,0.0344,0.189,0.0918,559,4.2,1.58,2.06,7.66,,,WR created
53,53,S23,0,0.019,0.0017,0.0816,0.0132,337,4.2,1.58,2.06,7.66,,,WR created
54,54,S24,0,0.0056,1.00E-04,0.0401,0.002,392,4.2,1.58,2.06,7.66,,,WR created
55,55,YAK,10,0,0,0,0,437,3.037,2.488,0.925,6.467,0.964,2.107,Original
