SortOrd,W_ID,Block_ID,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987
1,1,GBYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,GBYB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,GBYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,N01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,N02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,N03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,N04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,N05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,N06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,N07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,N08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,N09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,N10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,N11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,N12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,N13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,N14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,N15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,N16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,N17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,N18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,N19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,N20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,N21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,N22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,N23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,N24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,N25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,N26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,N27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,S01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,S02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,S03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,S04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,S05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,S06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,S07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,S08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,S09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,S10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,S12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,S14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,S15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,S16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,S17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,S19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,S20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,S21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,S22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,S23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,S24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,YAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
